"","sp1_common","sp1_scientific","sp1_tax_res","sp1_tax_group","sp1_lifestage","sp2_common","sp2_scientific","sp2_tax_res","sp2_tax_group","sp2_lifestage","effect_sp1_on_sp2","effect_sp2_on_sp1","interaction","interaction_strength","interaction_freq_count","interaction_freq_percent","time_of_year","year","elevation","vertical_strata","latitude","longitude","location_description","habitat_description","source_citation","source_URL","text_excerpt_occ","text_excerpt_ixn","raw_data","name_changes","other_sp1","comments","occ_freq","raw_data_ID","sp1_gbif","sp2_gbif"
"19","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March",2025,NA,NA,10.4305833333,-84.0050138833,"positional accuracy = 60 m",NA,NA,"https://www.inaturalist.org/observations/266551680",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"20","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March",2025,NA,NA,10.4300366667,-84.0050416667,"positional accuracy = 46 m",NA,NA,"https://www.inaturalist.org/observations/266551640",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"21","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March",2025,NA,NA,10.43125,-84.00453055,"positional accuracy = 4 m",NA,NA,"https://www.inaturalist.org/observations/265764882",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"22","Domestic Cat","Felis catus","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"February",2025,NA,NA,10.437,-83.9982916667,"positional accuracy = 6 m",NA,NA,"https://www.inaturalist.org/observations/263159757",NA,NA,NA,NA,NA,NA,NA,NA,"Felis catus",NA
"23","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"April",2022,NA,NA,10.4182031088,-84.0223731586,"positional accuracy = 2981 m",NA,NA,"https://www.inaturalist.org/observations/246042135",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"24","Mountain Lion","Puma concolor","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"August",2024,NA,NA,10.4293342879,-84.0093502194,"positional accuracy = 39 m",NA,NA,"https://www.inaturalist.org/observations/238445437",NA,NA,NA,NA,NA,NA,NA,NA,"Puma concolor",NA
"25","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"June",2024,NA,NA,10.4308432098,-84.0028612432,"positional accuracy = 20 m",NA,NA,"https://www.inaturalist.org/observations/224885668",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"26","Mountain Lion","Puma concolor","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"June",2024,NA,NA,10.43443,-84.0082388833,"positional accuracy = 27 m",NA,NA,"https://www.inaturalist.org/observations/224812291",NA,NA,NA,NA,NA,NA,NA,NA,"Puma concolor",NA
"27","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"June",2024,NA,NA,10.4312071452,-84.0045768617,"positional accuracy = 8 m",NA,NA,"https://www.inaturalist.org/observations/224420873",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"28","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"April",2024,NA,NA,10.4329590194,-83.9958808199,"positional accuracy = 107 m",NA,NA,"https://www.inaturalist.org/observations/207189244",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"29","Domestic Cat","Felis catus","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"January",2024,NA,NA,10.4482844958,-84.0645611289,"positional accuracy = 52 m",NA,NA,"https://www.inaturalist.org/observations/203300719",NA,NA,NA,NA,NA,NA,NA,NA,"Felis catus",NA
"30","Mountain Lion","Puma concolor","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"February",2024,NA,NA,10.4369283333,-84.010025,"positional accuracy = 6 m",NA,NA,"https://www.inaturalist.org/observations/200428585",NA,NA,NA,NA,NA,NA,NA,NA,"Puma concolor",NA
"31","Jaguar","Panthera onca","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"April",2007,NA,NA,10.2604149766,-84.19854997,"positional accuracy = 1428 m",NA,NA,"https://www.inaturalist.org/observations/200425646",NA,NA,NA,NA,NA,NA,NA,NA,"Panthera onca",NA
"32","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"February",2024,NA,NA,10.4368106086,-84.0057878941,"positional accuracy = 171 m",NA,NA,"https://www.inaturalist.org/observations/200200741",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"33","Northern Margay","Leopardus wiedii glauculus","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"August",2017,NA,NA,10.5527447468,-84.16946492,"positional accuracy = 4117 m",NA,NA,"https://www.inaturalist.org/observations/196030008",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus wiedii glauculus",NA
"34","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"October",2023,NA,NA,10.4305144101,-84.0071426617,"positional accuracy = 31 m",NA,NA,"https://www.inaturalist.org/observations/189628167",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"35","Jaguar","Panthera onca","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"July",2023,NA,NA,10.5657127328,-84.1719087002,"positional accuracy = 5 m",NA,NA,"https://www.inaturalist.org/observations/171118749",NA,NA,NA,NA,NA,NA,NA,NA,"Panthera onca",NA
"36","Mountain Lion","Puma concolor","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"April",2023,NA,NA,10.4116921529,-84.1158677638,"positional accuracy = 206 m",NA,NA,"https://www.inaturalist.org/observations/159677599",NA,NA,NA,NA,NA,NA,NA,NA,"Puma concolor",NA
"37","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"February",2022,NA,NA,10.2663271047,-83.9433006039,"positional accuracy = 4474 m",NA,NA,"https://www.inaturalist.org/observations/147953217",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"38","Jaguar","Panthera onca","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"October",2022,NA,NA,10.5133931211,-84.0122021334,"positional accuracy = NA m",NA,NA,"https://www.inaturalist.org/observations/140976327",NA,NA,NA,NA,NA,NA,NA,NA,"Panthera onca",NA
"39","Mountain Lion","Puma concolor","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"July",2022,NA,NA,10.2942742424,-84.1191675425,"positional accuracy = 69119 m",NA,NA,"https://www.inaturalist.org/observations/125329240",NA,NA,NA,NA,NA,NA,NA,NA,"Puma concolor",NA
"40","Domestic Cat","Felis catus","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"June",2022,NA,NA,10.0038722167,-84.0765,"positional accuracy = 3 m",NA,NA,"https://www.inaturalist.org/observations/121773574",NA,NA,NA,NA,NA,NA,NA,NA,"Felis catus",NA
